pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,5,0.5425583511643464,81.55171753674679,0.0598546776098463,0.4383409883319098,0.0014643192381234,29,29.2,53,52.0,1.793103448275862,1.7809195402298852,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,81.55171753674679,0.4383409883319098,29,1.793103448275862,True
3,2,0.6203105796314233,314.8085109419781,0.0,0.4367852733622714,0.0,100,100.0,103,103.0,1.03,1.03,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,314.8085109419781,0.4367852733622714,100,1.03,True
3,3,0.6203105796314233,215.9675134238312,0.0,0.4323540035317023,0.0,43,43.0,98,98.0,2.2790697674418605,2.2790697674418605,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,215.9675134238312,0.4323540035317023,43,2.2790697674418605,True
2,6,0.5425583511643464,68.87312450193114,0.0184563722170656,0.4156137111546057,0.000796017850111,22,23.0,49,47.4,2.227272727272727,2.063208168642951,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,68.87312450193114,0.4156137111546057,22,2.227272727272727,True
4,2,0.6764303292152071,370.9585283827726,0.0,0.4041014337896688,0.0,100,100.0,103,103.0,1.03,1.03,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,370.9585283827726,0.4041014337896688,100,1.03,True
4,3,0.6764303292152071,271.39771264832837,0.0,0.390737495721964,0.0,43,43.0,98,98.0,2.2790697674418605,2.2790697674418605,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,271.39771264832837,0.390737495721964,43,2.2790697674418605,True
2,7,0.5425583511643464,59.48903468465826,0.2694559145432075,0.386161201384286,0.001751307648579,17,17.8,41,36.8,2.2777777777777777,2.0673202614379087,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,59.48903468465826,0.386161201384286,17,2.2777777777777777,True
2,2,0.7718469225525996,15686.152395793975,0.0,0.4688153167329233,0.0,69,69.0,134,134.0,1.9420289855072463,1.9420289855072463,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,15686.152395793975,0.4688153167329233,69,1.9420289855072463,True
3,2,0.8402546895891552,18670.09549164121,0.0,0.428594850442299,0.0,69,69.0,134,134.0,1.9420289855072463,1.9420289855072463,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,18670.09549164121,0.428594850442299,69,1.9420289855072463,True
2,5,0.7718469225525996,6332.661558935526,92.78807442474404,0.4115622234485402,0.007988477601012,18,19.8,68,65.8,3.7777777777777777,3.4095816464237516,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,6332.661558935526,0.4115622234485402,18,3.7777777777777777,True
2,4,0.7718469225525996,7788.393998264704,0.8557948302451719,0.4075904759993163,0.0002369968936933,26,26.0,67,66.8,2.576923076923077,2.5692307692307694,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,7788.393998264704,0.4075904759993163,26,2.576923076923077,True
2,6,0.7718469225525996,5247.930979295388,20.57503935511235,0.4056647344152904,0.0026948137622142,14,17.4,56,52.2,4.0,3.049122807017544,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,5247.930979295388,0.4056647344152904,14,4.0,True
4,2,0.8945248429555972,21039.763825094626,0.0,0.4035159473086709,0.0,69,69.0,134,134.0,1.9420289855072463,1.9420289855072463,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,21039.763825094626,0.4035159473086709,69,1.9420289855072463,True
2,8,0.7718469225525996,3750.795074561572,19.29422147960857,0.3951754044143606,0.0030193758318475,6,6.0,40,36.8,6.666666666666667,6.133333333333334,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,3750.795074561572,0.3951754044143606,6,6.666666666666667,False
5,2,0.9262165306714149,22417.23965171616,2.2525667831005416,0.3919372721291771,0.0010118150962598,69,70.0,134,133.0,1.9420289855072463,1.9004735660338845,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,22417.23965171616,0.3919372721291771,69,1.9420289855072463,True
2,3,0.7718469225525996,11104.277469487975,3.810446878918194,0.3917502034622215,0.000945592111241,51,51.8,85,84.4,1.6346153846153846,1.629260935143288,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,11104.277469487975,0.3917502034622215,51,1.6346153846153846,True
2,9,0.7718469225525996,3332.156020377068,15.32701309089276,0.387713841814024,0.004177077617059,6,6.0,38,35.2,6.333333333333333,5.866666666666666,5,uni,UNI,results/phase2/tuning/phase2_all_results_uni_averaged.csv,3332.156020377068,0.387713841814024,6,6.333333333333333,False
2,8,0.3504834443021943,889.878250622642,0.4846050485875017,0.4286761333102901,0.0040055236318703,12,12.0,39,38.4,3.25,3.2,5,vit_base_patch16_224,ViT Base Patch 16 224,results/phase2/tuning/phase2_all_results_vit_base_patch16_224_averaged.csv,889.878250622642,0.4286761333102901,12,3.25,True
2,3,0.3504834443021943,3038.076046019579,0.5072851441092984,0.4204509344240296,0.0010356369786277,42,44.8,95,94.6,2.261904761904762,2.114238659890834,5,vit_base_patch16_224,ViT Base Patch 16 224,results/phase2/tuning/phase2_all_results_vit_base_patch16_224_averaged.csv,3038.076046019579,0.4204509344240296,42,2.261904761904762,True
2,9,0.3504834443021943,793.2903085375608,2.8370318697626806,0.4184081245755082,0.0049407132188364,11,12.2,38,34.2,3.1666666666666665,2.8205128205128203,5,vit_base_patch16_224,ViT Base Patch 16 224,results/phase2/tuning/phase2_all_results_vit_base_patch16_224_averaged.csv,793.2903085375608,0.4184081245755082,11,3.1666666666666665,True
2,7,0.3504834443021943,1083.177762801562,5.289105911299587,0.4180950466115987,0.0051462144444513,15,15.8,44,38.4,2.466666666666667,2.4364912280701754,5,vit_base_patch16_224,ViT Base Patch 16 224,results/phase2/tuning/phase2_all_results_vit_base_patch16_224_averaged.csv,1083.177762801562,0.4180950466115987,15,2.466666666666667,True
2,6,0.3504834443021943,1307.1883106466994,2.257159400570168,0.4156429713691709,0.0009886019978412,28,29.6,42,41.8,1.4642857142857142,1.4128571428571428,5,vit_base_patch16_224,ViT Base Patch 16 224,results/phase2/tuning/phase2_all_results_vit_base_patch16_224_averaged.csv,1307.1883106466994,0.4156429713691709,28,1.4642857142857142,True
