experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,3,True,validation,15,0.34469722725805785
Experiment 1,DenseNet-121,3,True,validation,16,0.32679900172210874
Experiment 1,DenseNet-121,3,True,validation,17,0.28167660225049723
Experiment 1,DenseNet-121,3,True,validation,18,0.3094069141717184
Experiment 1,DenseNet-121,3,True,validation,19,0.32984408598747994
Experiment 1,DenseNet-121,3,True,validation,20,0.3248034548901376
Experiment 1,DenseNet-121,3,True,validation,21,0.4063547395746268
Experiment 1,DenseNet-121,3,True,validation,22,0.2980829340716203
Experiment 1,DenseNet-121,3,True,validation,23,0.29224593928527265
Experiment 1,DenseNet-121,3,True,validation,24,0.29531805614186896
Experiment 1,DenseNet-121,3,True,validation,25,0.2874203155792895
Experiment 1,DenseNet-121,3,True,validation,26,0.275090645466532
Experiment 1,DenseNet-121,3,True,validation,27,0.3116168923942106
Experiment 1,DenseNet-121,3,True,validation,28,0.2937009752328907
Experiment 1,DenseNet-121,3,True,validation,29,0.30354046790550154
Experiment 1,DenseNet-121,3,True,validation,30,0.32163774514836924
Experiment 1,DenseNet-121,3,True,validation,31,0.296741221676625
Experiment 1,DenseNet-121,3,True,validation,32,0.33126582032335655
Experiment 1,DenseNet-121,3,True,validation,33,0.3309798352863817
Experiment 1,DenseNet-121,3,True,validation,34,0.3172812675003938
Experiment 1,DenseNet-121,3,True,validation,35,0.29896613975454656
Experiment 1,DenseNet-121,3,True,validation,36,0.2979894975045075
Experiment 1,DenseNet-121,3,True,validation,37,0.28463538616363493
Experiment 1,DenseNet-121,3,True,validation,38,0.2813082640281036
Experiment 1,DenseNet-121,3,True,validation,39,0.280794862314083
Experiment 1,DenseNet-121,3,True,validation,40,0.2633051289733322
Experiment 1,DenseNet-121,3,True,validation,41,0.2798746072332419
Experiment 1,DenseNet-121,3,True,validation,42,0.27255365995335434
Experiment 1,DenseNet-121,3,True,validation,43,0.28612475049504565
Experiment 1,DenseNet-121,3,True,validation,44,0.28317358362532796
Experiment 1,DenseNet-121,3,True,validation,45,0.2773297474763933
Experiment 1,DenseNet-121,3,True,validation,46,0.27957638418523684
Experiment 1,DenseNet-121,3,True,validation,47,0.2788776545563624
Experiment 1,DenseNet-121,3,True,validation,48,0.2706239245876315
Experiment 1,DenseNet-121,3,True,validation,49,0.2758045885323857
Experiment 1,DenseNet-121,3,True,validation,50,0.26856886799491586
Experiment 1,DenseNet-121,3,True,validation,51,0.27972374935190947
Experiment 1,DenseNet-121,3,True,validation,52,0.28511569530348335
Experiment 1,DenseNet-121,3,True,validation,53,0.27746985517885714
Experiment 1,DenseNet-121,3,True,validation,54,0.2664557083265945
Experiment 1,DenseNet-121,3,True,validation,55,0.2782654947922787
Experiment 1,DenseNet-121,4,False,training,1,0.8427070475050381
Experiment 1,DenseNet-121,4,False,training,2,0.6655695363879204
Experiment 1,DenseNet-121,4,False,training,3,0.5975879941667829
Experiment 1,DenseNet-121,4,False,training,4,0.56443711937893
Experiment 1,DenseNet-121,4,False,training,5,0.5061335631069683
Experiment 1,DenseNet-121,4,False,training,6,0.49161530037720996
Experiment 1,DenseNet-121,4,False,training,7,0.42498919279092834
Experiment 1,DenseNet-121,4,False,training,8,0.39677730575203896
Experiment 1,DenseNet-121,4,False,training,9,0.3905960039368698
Experiment 1,DenseNet-121,4,False,training,10,0.3721463330799625
Experiment 1,DenseNet-121,4,False,training,11,0.3326993511901015
Experiment 1,DenseNet-121,4,False,training,12,0.3218249630715166
Experiment 1,DenseNet-121,4,False,training,13,0.3033511432863417
Experiment 1,DenseNet-121,4,False,training,14,0.30266946066348327
Experiment 1,DenseNet-121,4,False,training,15,0.27547534617284936
Experiment 1,DenseNet-121,4,False,training,16,0.27887313515834866
Experiment 1,DenseNet-121,4,False,training,17,0.2863926301665959
Experiment 1,DenseNet-121,4,False,training,18,0.25978525461895124
Experiment 1,DenseNet-121,4,False,training,19,0.25722693873658065
Experiment 1,DenseNet-121,4,False,training,20,0.24072289067719663
Experiment 1,DenseNet-121,4,False,training,21,0.22314242876711346
Experiment 1,DenseNet-121,4,False,training,22,0.24131135793314093
Experiment 1,DenseNet-121,4,False,training,23,0.22209373950248673
Experiment 1,DenseNet-121,4,False,training,24,0.20260922264839923
Experiment 1,DenseNet-121,4,False,training,25,0.19108193376589389
Experiment 1,DenseNet-121,4,False,training,26,0.20563875870513065
Experiment 1,DenseNet-121,4,False,training,27,0.21054301158125913
Experiment 1,DenseNet-121,4,False,training,28,0.19828264387546196
Experiment 1,DenseNet-121,4,False,training,29,0.18397227674722672
Experiment 1,DenseNet-121,4,False,training,30,0.19220984762623197
Experiment 1,DenseNet-121,4,False,training,31,0.19537835550450144
Experiment 1,DenseNet-121,4,False,training,32,0.19131502438159215
Experiment 1,DenseNet-121,4,False,training,33,0.18911576801024021
